type_survey,date_elec,id_pollster,pollster,media,field_date_from,field_date_to,exit_poll,size,turnout,UCD,PSOE,PCE,AP,CIU,PA,EAJ-PNV,HB,ERC,EE,CDS,FN,PAD,PRD,MUC,IU,CG,PAR,AIC,UV,EA,PP,LV,ARM,PDP,CC,PAP,BNG,ICV,EH,UPYD,AMAIUR,CS,DIL-CDC,EH-BILDU,UP,PACMA,PODEMOS,COMPROMIS,VOX,JXCAT-JUNTS,NA-SUMA,PDECAT,CC-NC,PRC,MP,CUP,TE,EV
national,2015-12-20,pollster-58,NC REPORT,NA,2012-04-08,2012-04-16,FALSE,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-49,GESOP,EL PERIÓDICO,2012-04-08,2012-04-13,FALSE,1000,NA,NA,19.1,NA,NA,2.9,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,17.7,NA,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-56,SIMPLE LÓGICA,NA,2012-04-01,2012-04-13,FALSE,1059,67.4,NA,21.1,NA,NA,2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,20.8,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-19,CIS,NA,2012-04-01,2012-04-12,FALSE,2479,NA,NA,24.3,NA,NA,3.2,NA,0.7,NA,2,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,25.6,NA,NA,NA,0.5,NA,0.6,NA,NA,1.9,NA,13.8,NA,0.9,NA,NA,16.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-18,SIGMA DOS,MEDIASET,2012-04-07,2012-04-09,FALSE,1800,NA,NA,19.7,NA,NA,2.1,NA,1.2,NA,2.3,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,16.6,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-53,METROSCOPIA,EL PAÍS,2012-04-07,2012-04-09,FALSE,1000,74,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19.4,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-43,CELESTE-TEL,NA,2012-04-01,2012-04-08,FALSE,1100,64.6,NA,26.6,NA,NA,2.4,NA,1.1,NA,1.8,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,29.5,NA,NA,NA,0.7,NA,0.8,NA,NA,1.3,NA,12.1,NA,1,NA,NA,12.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-58,NC REPORT,LA RAZÓN,2012-03-30,2012-04-02,FALSE,900,65.6,NA,23.5,NA,NA,2.7,NA,1.2,NA,2.1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,29.7,NA,NA,NA,0.4,NA,0.4,NA,NA,2.4,NA,10.5,NA,0.9,NA,NA,14.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-54,INVYMARK,LA SEXTA,2012-03-23,2012-03-27,FALSE,1200,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,14.8,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-67,ENCUESTAMOS,NA,2012-03-26,2012-03-26,FALSE,900,NA,NA,23.6,NA,NA,3.1,NA,1.2,NA,2.1,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,14.7,NA,1.3,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-56,SIMPLE LÓGICA,NA,2012-03-02,2012-03-13,FALSE,1058,70.5,NA,18.7,NA,NA,2.4,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,18,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-71,MYWORD,CADENA SER,2012-03-04,2012-03-09,FALSE,1000,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,18.8,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-43,CELESTE-TEL,NA,2012-03-02,2012-03-06,FALSE,1100,63.6,NA,26.4,NA,NA,2.4,NA,1,NA,1.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,30.9,NA,NA,NA,0.7,NA,0.8,NA,NA,1.3,NA,11.7,NA,1.1,NA,NA,12.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-53,METROSCOPIA,EL PAÍS,2012-03-03,2012-03-04,FALSE,1000,74.6,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,18.4,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-63,JM&A,EL ESPAÑOL,2012-03-01,2012-03-01,FALSE,NA,68,NA,18.6,NA,NA,2.8,NA,1.1,NA,2,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,25.9,NA,NA,NA,0.4,NA,0.3,NA,NA,3.1,NA,9.4,NA,1.2,NA,NA,24.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-67,ENCUESTAMOS,NA,2012-02-26,2012-02-26,FALSE,600,NA,NA,19.9,NA,NA,3.2,NA,1.3,NA,2.2,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,10.1,NA,1.4,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-54,INVYMARK,LA SEXTA,2012-02-23,2012-02-26,FALSE,NA,NA,NA,21.5,NA,NA,2.8,NA,1.3,NA,2.8,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6.4,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-58,NC REPORT,LA RAZÓN,2012-02-15,2012-02-15,FALSE,NA,65.4,NA,22.8,NA,NA,2.6,NA,1.2,NA,2,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,29.3,NA,NA,NA,0.4,NA,0.4,NA,NA,3.8,NA,3.3,NA,0.8,NA,NA,22.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-63,JM&A,EL ESPAÑOL,2012-02-14,2012-02-14,FALSE,NA,65.1,NA,19.6,NA,NA,2.9,NA,1,NA,2.3,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,27.1,NA,NA,NA,0.4,NA,0.3,NA,NA,3.5,NA,4,NA,1,NA,NA,25.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-18,SIGMA DOS,MEDIASET,2012-02-09,2012-02-12,FALSE,1800,NA,NA,20.1,NA,NA,2.6,NA,1.2,NA,2.4,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7.3,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-71,MYWORD,CADENA SER,2012-02-09,2012-02-11,FALSE,1000,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,13.4,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-56,SIMPLE LÓGICA,NA,2012-02-02,2012-02-09,FALSE,1058,71,NA,17.8,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,8.5,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-43,CELESTE-TEL,ELDIARIO.ES,2012-02-02,2012-02-06,FALSE,1100,59.4,NA,24.4,NA,NA,2.2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,31.8,NA,NA,NA,0.6,NA,0.7,NA,NA,3,NA,6.2,NA,1,NA,NA,18.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-76,DEMOSCOPIA SERVICIOS,ESRADIO,2012-02-02,2012-02-06,FALSE,NA,NA,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,4.5,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-54,INVYMARK,LA SEXTA,2012-02-02,2012-02-06,FALSE,1200,NA,NA,20.1,NA,NA,2.9,NA,1.2,NA,3.1,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3.8,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-53,METROSCOPIA,EL PAÍS,2012-02-03,2012-02-04,FALSE,1000,72,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,12.2,NA,NA,NA,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-18,SIGMA DOS,MEDIASET,2012-01-26,2012-01-29,FALSE,1000,NA,NA,21.4,NA,NA,2.5,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-67,ENCUESTAMOS,NA,2012-01-23,2012-01-23,FALSE,NA,NA,NA,19.1,NA,NA,3.8,NA,1.3,NA,2.3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,7.6,NA,1.4,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-60,GAD3,ABC,2012-01-09,2012-01-16,FALSE,1000,76,NA,19.2,NA,NA,2.8,NA,1.3,NA,1.8,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,6.3,NA,1,NA,NA,21.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-58,NC REPORT,NA,2012-01-07,2012-01-15,FALSE,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-18,SIGMA DOS,MEDIASET,2012-01-12,2012-01-14,FALSE,1800,NA,NA,19.4,NA,NA,2.7,NA,1.1,NA,2.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,4.6,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-56,SIMPLE LÓGICA,NA,2012-01-07,2012-01-14,FALSE,1025,68.6,NA,18.6,NA,NA,2.3,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,5.8,NA,NA,NA,NA,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-19,CIS,NA,2012-01-02,2012-01-12,FALSE,2481,NA,NA,22.2,NA,NA,3,NA,0.7,NA,1.6,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,27.3,NA,NA,NA,0.5,NA,0.5,NA,NA,4.6,NA,3.1,NA,1,NA,NA,23.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-43,CELESTE-TEL,ELDIARIO.ES,2012-01-02,2012-01-09,FALSE,1100,60.2,NA,23.8,NA,NA,2.1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,31.1,NA,NA,NA,0.5,NA,0.6,NA,NA,2.7,NA,4.5,NA,1.1,NA,NA,20.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-53,METROSCOPIA,EL PAÍS,2012-01-07,2012-01-08,FALSE,1000,71.6,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8.1,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2015-12-20,pollster-71,MYWORD,CADENA SER,2011-12-30,2012-01-06,FALSE,1001,NA,NA,19,NA,NA,1.9,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,5,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-04-28,2019-04-28,TRUE,4300,NA,NA,25.3,NA,NA,NA,NA,1.3,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,15,NA,0.8,14.5,1.4,NA,1.2,13,1.4,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-80,SOCIOMÉTRICA,EL ESPAÑOL,2019-04-25,2019-04-27,FALSE,3600,NA,NA,27.9,NA,NA,NA,NA,1.2,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,16,NA,0.9,16.5,NA,NA,0.5,11,1.6,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-74,IMOP,COPE,2019-04-25,2019-04-27,FALSE,4200,NA,NA,26.8,NA,NA,NA,NA,1.2,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,14.2,NA,0.9,16.8,NA,NA,0.6,12.7,1.3,0.2,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-60,GAD3,RTVE–FORTA,2019-04-12,2019-04-27,FALSE,12000,NA,NA,28.1,NA,NA,NA,NA,1.3,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,14.4,NA,0.7,16.1,NA,NA,0.5,12.4,1.6,0.5,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-81,PODEMOS,NA,2019-04-26,2019-04-26,FALSE,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,15,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-76,DEMOSCOPIA SERVICIOS,OKDIARIO,2019-04-26,2019-04-26,FALSE,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,12.3,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-04-22,2019-04-25,FALSE,11000,NA,NA,25.3,NA,NA,NA,NA,1.3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,15,NA,0.8,14.6,1.8,NA,1.3,12.3,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-04-22,2019-04-24,FALSE,11000,NA,NA,25.6,NA,NA,NA,NA,1.3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15.1,NA,0.8,14.1,1.9,NA,1.3,12.4,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-04-22,2019-04-23,FALSE,11000,NA,NA,26.2,NA,NA,NA,NA,1.3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15.1,NA,0.8,13.5,2.1,NA,1.3,12.4,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-69,HAMALGAMA MÉTRICA,ESPIRAL21,2019-04-22,2019-04-22,FALSE,NA,70.5,NA,28.1,NA,NA,NA,NA,1.3,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,13.2,NA,0.8,12.1,1.4,NA,0.9,10.1,1.4,0.1,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-82,LLORENTE & CUENCA,NA,2019-04-22,2019-04-22,FALSE,NA,NA,NA,28.3,NA,NA,NA,NA,4,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,18.9,NA,2,13.8,NA,NA,NA,7.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-83,KEYDATA,PÚBLICO,2019-04-22,2019-04-22,FALSE,NA,67.7,NA,29.4,NA,NA,NA,NA,1.2,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,15.3,NA,0.9,13.1,NA,NA,NA,10.4,1.5,2,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-76,DEMOSCOPIA SERVICIOS,OKDIARIO,2019-04-17,2019-04-22,FALSE,NA,NA,NA,28.1,NA,NA,NA,NA,1.4,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,14.4,NA,0.9,12.6,NA,NA,1.1,12.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-04-22,2019-04-22,FALSE,11000,NA,NA,27.2,NA,NA,NA,NA,1.3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15,NA,0.8,12.8,2.2,NA,1.3,12.4,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-80,SOCIOMÉTRICA,EL ESPAÑOL,2019-04-14,2019-04-21,FALSE,1800,NA,NA,29.5,NA,NA,NA,NA,1.1,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15.1,NA,0.9,13.6,0.9,NA,1.1,12.6,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-03-22,2019-04-21,FALSE,11000,NA,NA,27.4,NA,NA,NA,NA,1.3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,14.4,NA,0.8,12.4,2.3,NA,1.3,12.5,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-43,CELESTE-TEL,ELDIARIO.ES,2019-04-15,2019-04-20,FALSE,1100,68.3,NA,28.9,NA,NA,NA,NA,1.2,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,15.1,NA,0.8,13.5,1.3,NA,1.3,7.9,1.5,0.4,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-74,IMOP,EL CONFIDENCIAL,2019-04-14,2019-04-20,FALSE,1400,70,NA,29.8,NA,NA,NA,NA,1.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,15.1,NA,0.8,14.1,1.8,NA,0.8,10,1.2,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-80,SOCIOMÉTRICA,EL ESPAÑOL,2019-04-13,2019-04-20,FALSE,1800,NA,NA,30,NA,NA,NA,NA,1.1,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15.5,NA,1,13.7,0.8,NA,1,11.8,1.4,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-03-22,2019-04-20,FALSE,10800,NA,NA,27.5,NA,NA,NA,NA,1.3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,14.3,NA,0.8,12.3,2.2,NA,1.3,12.5,1.3,0.3,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-54,INVYMARK,LA SEXTA,2019-04-15,2019-04-19,FALSE,NA,NA,NA,28.1,NA,NA,NA,NA,1.3,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,13,NA,NA,NA,12.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-58,NC REPORT,LA RAZÓN,2019-04-15,2019-04-19,FALSE,1000,68.9,NA,28.1,NA,NA,NA,NA,1.3,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,14.9,NA,0.8,13,NA,NA,1.5,9,1.4,0.4,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-80,SOCIOMÉTRICA,EL ESPAÑOL,2019-04-12,2019-04-19,FALSE,1800,NA,NA,30.5,NA,NA,NA,NA,1,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,15.9,NA,1.1,13.8,0.7,NA,0.8,10.9,1.5,0.2,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-60,GAD3,ABC,2019-04-01,2019-04-19,FALSE,10000,NA,NA,31.5,NA,NA,NA,NA,1.2,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,13.9,NA,0.9,12.1,1.9,NA,0.4,11.4,1.2,0.5,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-79,ELECTOPANEL,ELECTOMANÍA,2019-03-22,2019-04-19,FALSE,10700,NA,NA,27.6,NA,NA,NA,NA,1.3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,14.2,NA,0.8,12.4,2.3,NA,1.3,12.5,1.3,0.4,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-76,DEMOSCOPIA SERVICIOS,ESDIARIO,2019-04-15,2019-04-18,FALSE,950,NA,NA,28.4,NA,NA,NA,NA,1.4,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,14.7,NA,0.9,12.7,NA,NA,1.2,12.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-84,40DB,EL PAÍS,2019-04-15,2019-04-18,FALSE,2000,NA,NA,28.8,NA,NA,NA,NA,1,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,14.1,NA,1,13.2,2.8,NA,0.9,12.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA
national,2019-04-28,pollster-38,SONDAXE,LA VOZ DE GALICIA,2019-04-11,2019-04-18,FALSE,1000,NA,NA,30.9,NA,NA,NA,NA,2.1,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,13.8,NA,0.8,13.6,NA,NA,NA,10.5,1.5,0.3,NA,NA,NA,NA,NA,NA,NA
